MMAF_CODE,MMSI,STATION_NM,STATION_TYPE1,STATION_TYPE2,MMSI_TYPE,VIRTUAL_MMSI,MMSI_EXT_NM,REAL_MMSI,LATITUDE,LONGITUDE,INSTALL_DT,LANTERN_INST,RACON_INST,BATTERY_INST,CHARGER_INST,CHARGER_INST,DATALOGGER_INST,SPARE_INST,MAIN_VOLT_INST,SOLAR_VOLT_INST,BATTERY_VOLT_INST,SPARE_VOLT_INST,AIS_CURR_INST,LANTERN_CURR_INST,DATALOGGER_CURR_INST,SPARE_CURR_INST,WIND_SPEED_INST,WIND_DIRECT_INST,AIR_TEMPER_INST,HUMIDITY_INST,DEW_POINT_INST,AIR_PRESSURE_INST,HORIZON_VISIBL_INST,WATER_LEVEL_INST,CURRENT1_INST,CURRENT2_INST,CURRENT3_INST,WAVE_HEIGHT_INST,WAVE_DRC_INST,SWELL_HEIGHT_INST,SWELL_DRC_INST,WATER_TEMPER_INST,PRECIPI_TYPE_INST,SALINTITY_INST,ICE_INST,HEAT_PROSTR_INST,HELIOGRAPH_INST,OXYGEN_INST,OXYGEN_SATUR_INST,PH_INST,CHLOROPHYLL_INST,MUDDINESS_INST,PRECIPI_INST,TREE_DEPTH,TREE_OD,PARENT_MMSI,PROCESS_STATUS,VTS_ID,BASESTATION_ID,CHARGER_CURR_INST,DISCHARGER_CURR_INST,STATION_IMG,REGIST_USER_NO,REGIST_DT,UPDT_USER_NO,UPDT_DT,TIDE_INST,WAVE_PERIOD_INST
111,1702021,덕산항남방파제등대,1,0,1,1702021,,1702021,37.37627778,129.2536389,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
111,1702020,덕산항북방파제등대,1,0,1,1702020,,1702020,37.37558333,129.2545833,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
111,1702019,삼척항북방파제등대,2,0,1,1702019,,1702019,37.43227778,129.1971111,,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
111,1702018,삼척항방사제등대,2,0,1,1702018,,1702018,37.43238889,129.19375,,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
111,1702017,묵호항남방사제등대,2,0,1,1702017,,1702017,37.54063889,129.1333056,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,,,,0,0,,,,,,,
111,1702016,묵호항방사제등대,2,0,1,1702016,,1702016,37.54325,129.1318611,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,,,,0,0,,,,,,,
111,1702015,한진등대,2,0,1,1702015,,1702015,37.57511111,129.1169167,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,,,,0,0,,,,,,,
111,1702014,금진항방사제등대,1,0,1,1702014,,1702014,37.64875,129.04975,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,,,,0,0,,,,,,,
111,1702013,금진항방파제등대,1,0,1,1702013,,1702013,37.64786111,129.0505833,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,,,,0,0,,,,,,,
111,1702012,강릉항남방파제등대,1,0,1,1702012,,1702012,37.77097222,128.9550833,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,,,,0,0,,,,,,,
111,1702011,강릉항북방파제등대,1,0,1,1702011,,1702011,37.77111111,128.9568889,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,,,,0,0,,,,,,,
111,1702010,남애항남방파제등대,1,0,1,1702010,,1702010,37.94255556,128.7882222,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,,,,0,0,,,,,,,
111,1702009,남애항북방파제등대,1,0,1,1702009,,1702009,37.94216667,128.7900833,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,,,,0,0,,,,,,,
111,1702008,기사문등대,2,0,1,1702008,,1702008,38.02202778,128.7356389,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,,,,0,0,,,,,,,
111,1702007,수산항방파제익제등대,1,0,1,1702007,,1702007,38.07733333,128.67925,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,6,,,,0,0,,,,,,,
113,994403012,왜몰초등표,1,0,1,,,994403012,34.27333333,126.755,,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,2,,994403012,4403314,1,0,,,,,,,
113,994403011,비견도남방등표,1,0,1,994403011,,994403011,34.405,127.0861111,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,2,,994403003,4403313,1,1,,,,,,,
113,994403007,완도항유도등부표,0,0,1,,,994403007,34.25333333,126.8083333,,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,2,,994403001,4403313,1,1,,,,,,,
113,994403006,출운초등표,1,0,1,,,994403006,34.07333333,126.52,,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,2,,994403006,4403313,1,1,,,,,,,
113,994403005,복사초등표,1,0,1,,,994403005,34.09833333,126.1680556,,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,2,,994403002,4403313,1,1,,,,,,,
